Number of header lines; NASA Ames sub-format code,44,3010
Name of data creator,None
Institute of data creator,Data held at British Atmospheric Data Centre (BADC), Rutherford Appleton Laboratory, UK.
Instrument or model name,None
Project name,None
File number; Total number of files,1,1
Starting date of data (YYYY MM DD); File creation date (YYYY MM DD),999 999 999,2021 4 18
Interval between coordinate variable values (zero if not used),0.5,0.5,0
Length of coordinate variables,3,4
Number of coordinate variable values explicity defined in header,3,3
Values of coordinate variable,73.750,74.250,74.750
Values of coordinate variable,33.250,33.750,34.250
Name of coordinate variable (with units) 1,longitude (degrees_east)
Name of coordinate variable (with units) 2,latitude (degrees_north)
Name of coordinate variable (with units) 3,time (days since 1900-1-1)
Number of primary variables defined,1
Scale factors for each primary variable,1
Missing values for each primary variable,-9999.999
Name of primary variable (with units) 1,near-surface temperature maximum (degrees Celsius)
Number of auxiliary variables,0
Number of lines of special comments,12
Special comments line 1,==== Special Comments follow ====
Special comments line 2,=== Additional Variable Attributes defined in the source file ===
Special comments line 3,== Variable attributes from source (NetCDF) file follow ==
Special comments line 4,  Variable tmx: near-surface temperature maximum (degrees Celsius)
Special comments line 5,    correlation_decay_distance = 1200.0
Special comments line 6,    name = variable_1
Special comments line 7,    _FillValue = -9999.999
Special comments line 8,    datatype = Float
Special comments line 9,    long_name = near-surface temperature maximum
Special comments line 10,    units = degrees Celsius
Special comments line 11,== Variable attributes from source (NetCDF) file end ==
Special comments line 12,==== Special Comments end ====
Number of lines of normal comments,10
Normal comments line 1,Comment = Access to these data is available to any registered CEDA user.
Normal comments line 2,Title = CRU TS4.04
Normal comments line 3,Institution = Data held at British Atmospheric Data Centre, RAL, UK.
Normal comments line 4,Contact = support@ceda.ac.uk
Normal comments line 5,References = Information on the data is available at http://badc.nerc.ac.uk/data/cru/
Normal comments line 6,Calendar = gregorian
Normal comments line 7,Conventions = CF-1.4
Normal comments line 8,Id = none
Normal comments line 9,History = Thu 16 Apr 2020 02:46:38 BST : User ianharris : Program makegridsauto.for called by update.for [2020-11-3 16:7:33] /usr/local/cows_venv_py27/cows_venv/bin/cdscan --exclude stn -x cdmls/cru_ts_4.04_gridded.xml -t time /badc/cru/data/cru_ts/cru_ts_4.04/data/cld/cru_ts4.04.1901.2019.cld.dat.nc /badc/cru/data/cru_ts/cru_ts_4.04/data/dtr/cru_ts4.04.1901.2019.dtr.dat.nc /bad ...
Normal comments line 10,2021-18-06T05:06:37 - Data extracted by Web Processing Service process.
Data section,380.0
Data section,16.9,12.8,7.5
Data section,11.7,5.7,3.1
Data section,5.7,3.5,2.5
Data section,-0.8,-0.1,-2.6
Data section,410.0
Data section,18.0,13.9,8.3
Data section,12.4,6.2,3.7
Data section,5.8,4.0,3.4
Data section,-0.4,0.4,-2.2
Data section,439.0
Data section,25.0,20.8,15.5
Data section,19.1,13.1,11.1
Data section,12.5,11.1,11.0
Data section,6.5,8.0,5.7
Data section,470.0
Data section,29.9,25.5,19.9
Data section,23.3,17.3,15.0
Data section,16.4,15.2,14.9
Data section,10.0,11.5,9.2
Data section,500.0
Data section,35.5,30.7,24.5
Data section,28.6,21.8,19.3
Data section,20.9,19.5,19.0
Data section,14.1,15.6,12.9
Data section,531.0
Data section,38.5,33.9,28.2
Data section,32.1,25.6,23.4
Data section,24.4,23.5,23.2
Data section,18.1,19.6,17.0
Data section,561.0
Data section,35.1,31.9,28.0
Data section,30.0,25.6,24.6
Data section,24.3,24.3,25.1
Data section,19.9,21.7,19.9
Data section,592.0
Data section,33.8,30.8,27.2
Data section,29.3,25.1,24.2
Data section,23.8,24.1,24.9
Data section,19.9,21.7,20.2
Data section,623.0
Data section,33.8,30.2,25.9
Data section,28.5,23.6,22.3
Data section,22.5,22.2,22.5
Data section,17.8,19.4,17.5
Data section,653.0
Data section,31.9,27.9,23.2
Data section,25.7,20.2,18.4
Data section,18.9,18.2,17.9
Data section,12.9,14.3,11.9
Data section,684.0
Data section,26.4,22.2,17.0
Data section,21.1,15.4,13.0
Data section,15.1,13.5,12.8
Data section,8.9,10.0,7.3
Data section,714.0
Data section,19.7,15.6,10.5
Data section,14.7,9.1,6.5
Data section,9.2,6.8,5.6
Data section,3.0,3.6,0.7
Data section,745.0
Data section,18.8,14.7,9.5
Data section,13.6,7.6,5.0
Data section,7.6,5.3,4.3
Data section,1.2,1.9,-1.2
Data section,775.0
Data section,19.8,15.8,10.4
Data section,14.1,7.9,5.6
Data section,7.4,5.7,4.9
Data section,0.6,1.7,-0.8
Data section,804.0
Data section,25.0,20.8,15.7
Data section,18.6,12.8,10.9
Data section,11.7,10.4,10.1
Data section,5.3,6.9,4.2
Data section,835.0
Data section,30.3,25.9,20.5
Data section,23.4,17.4,15.3
Data section,16.3,15.2,14.7
Data section,9.8,11.3,8.9
Data section,865.0
Data section,36.8,32.0,25.6
Data section,29.9,23.1,20.6
Data section,22.3,20.9,20.4
Data section,15.6,17.1,14.3
Data section,896.0
Data section,38.7,34.1,28.1
Data section,32.9,26.3,23.9
Data section,25.7,24.5,24.5
Data section,19.6,21.0,18.5
Data section,926.0
Data section,34.9,31.7,27.7
Data section,30.1,25.2,24.5
Data section,24.1,24.1,24.7
Data section,19.9,21.6,19.9
Data section,957.0
Data section,33.7,30.6,26.9
Data section,29.2,24.9,24.0
Data section,23.7,24.0,24.7
Data section,19.8,21.6,19.9
Data section,988.0
Data section,33.6,30.0,25.7
Data section,28.4,23.5,22.1
Data section,22.4,22.1,22.5
Data section,17.7,19.2,17.4
Data section,1018.0
Data section,31.1,27.0,22.0
Data section,25.4,19.8,17.8
Data section,19.1,18.0,17.8
Data section,13.2,14.6,12.3
Data section,1049.0
Data section,25.2,21.0,15.8
Data section,19.9,14.1,11.8
Data section,13.8,12.1,11.3
Data section,7.5,8.6,5.9
Data section,1079.0
Data section,18.6,14.5,9.3
Data section,13.7,8.1,5.6
Data section,8.3,5.8,4.7
Data section,2.1,2.7,-0.2
Data section,1110.0
Data section,16.4,12.4,7.4
Data section,11.0,5.0,2.6
Data section,4.8,2.6,1.5
Data section,-1.8,-1.1,-3.7
Data section,1140.0
Data section,18.4,14.3,8.8
Data section,12.6,6.4,4.0
Data section,5.9,4.2,3.4
Data section,-0.8,0.2,-2.4
Data section,1169.0
Data section,21.5,17.4,12.5
Data section,15.0,9.3,7.4
Data section,8.0,6.9,6.5
Data section,1.6,3.1,0.5
Data section,1200.0
Data section,28.2,23.9,18.4
Data section,21.4,15.5,13.4
Data section,14.6,13.3,12.9
Data section,8.1,9.7,7.4
Data section,1230.0
Data section,35.1,30.3,24.2
Data section,28.1,21.3,18.9
Data section,20.3,19.0,18.5
Data section,13.6,15.1,12.4
Data section,1261.0
Data section,39.3,34.7,28.8
Data section,33.1,26.6,24.3
Data section,25.7,24.6,24.3
Data section,19.4,20.9,18.1
Data section,1291.0
Data section,34.7,31.5,27.6
Data section,29.7,25.1,24.4
Data section,23.7,23.7,24.5
Data section,19.4,21.3,19.6
Data section,1322.0
Data section,33.2,30.1,26.4
Data section,28.8,24.4,23.5
Data section,23.4,23.5,24.3
Data section,19.4,21.2,19.4
Data section,1353.0
Data section,34.3,30.8,26.5
Data section,29.1,24.2,22.9
Data section,23.1,22.7,23.1
Data section,18.3,19.9,18.0
Data section,1383.0
Data section,31.8,27.6,22.6
Data section,26.1,20.5,18.5
Data section,19.7,18.7,18.5
Data section,13.9,15.3,12.8
Data section,1414.0
Data section,24.7,20.6,15.5
Data section,19.5,13.8,11.5
Data section,13.3,11.8,11.0
Data section,7.1,8.2,5.6
Data section,1444.0
Data section,18.8,14.8,9.9
Data section,13.7,8.1,5.6
Data section,7.8,5.8,4.8
Data section,1.6,2.2,-0.3
Data section,1475.0
Data section,15.6,11.6,7.1
Data section,9.9,4.0,1.6
Data section,3.5,1.5,0.5
Data section,-3.1,-2.3,-4.6
Data section,1505.0
Data section,19.9,15.7,10.2
Data section,14.3,8.0,5.5
Data section,7.6,5.9,5.3
Data section,0.9,2.0,-0.4
Data section,1535.0
Data section,23.8,19.6,14.2
Data section,17.7,11.9,9.9
Data section,11.1,9.8,9.6
Data section,4.9,6.4,4.3
Data section,1566.0
Data section,30.6,26.3,20.9
Data section,23.8,17.8,15.8
Data section,16.7,15.6,15.2
Data section,10.2,11.7,9.4
Data section,1596.0
Data section,35.7,30.9,24.5
Data section,28.9,22.1,19.6
Data section,21.4,19.8,19.2
Data section,14.7,16.2,13.3
Data section,1627.0
Data section,39.4,34.9,29.0
Data section,33.4,26.9,24.5
Data section,26.2,25.0,24.8
Data section,19.9,21.5,18.8
Data section,1657.0
Data section,34.8,31.6,27.6
Data section,30.1,25.4,24.4
Data section,24.5,24.4,25.2
Data section,20.2,22.0,20.2
Data section,1688.0
Data section,33.6,30.5,26.8
Data section,29.1,24.8,23.9
Data section,23.7,23.9,24.6
Data section,19.8,21.6,19.9
Data section,1719.0
Data section,33.3,29.7,25.4
Data section,28.0,23.1,21.8
Data section,21.9,21.6,21.9
Data section,17.2,18.8,16.8
Data section,1749.0
Data section,30.5,26.4,21.6
Data section,24.5,18.9,17.1
Data section,17.8,17.0,16.7
Data section,11.9,13.3,10.9
Data section,1780.0
Data section,25.4,21.1,15.8
Data section,20.3,14.5,12.1
Data section,14.5,12.6,11.9
Data section,8.3,9.4,6.3
Data section,1810.0
Data section,19.7,15.7,10.5
Data section,14.8,9.2,6.6
Data section,9.5,7.0,5.9
Data section,3.3,3.9,0.8
Data section,1841.0
Data section,15.6,11.5,6.3
Data section,10.3,4.3,1.8
